,ts_code,extname,index_code,index_name,exchange,mgr_name,amount,human
1069,562880.SH,电池ETF嘉实,931719.CSI,中证电池主题指数,SH,嘉实基金,12976.011,
335,159767.SZ,电池龙头ETF,980032.SZ,国证新能源车电池指数,SZ,兴银基金,1183.002,
63,159320.SZ,电网ETF,HSCAUPG.HI,恒生A股电网设备指数,SZ,广发基金,2421.787,
1011,561380.SH,电网ETF,HSCAUPG.HI,恒生A股电网设备指数,SH,国泰基金,5198.698,1
68,159326.SZ,电网设备ETF,931994.CSI,中证电网设备主题指数,SZ,华夏基金,2763.842,1
410,159867.SZ,畜牧ETF,930707.CSI,中证畜牧养殖指数,SZ,鹏华基金,10861.983,
848,516670.SH,畜牧养殖ETF,930707.CSI,中证畜牧养殖指数,SH,招商基金,26065.246,
244,159643.SZ,疫苗ETF,980015.SZ,国证疫苗与生物科技指数,SZ,国泰基金,2022.363,
245,159645.SZ,疫苗ETF富国,980015.SZ,国证疫苗与生物科技指数,SZ,富国基金,274.029,
1031,561920.SH,疫苗龙头ETF,931992.CSI,中证疫苗与生物技术指数,SH,招商基金,161.083,
575,511360.SH,短融ETF,H11014.CSI,中证短融指数,SH,海富通基金,10191893.16,
312,159731.SZ,石化ETF,H11057.CSI,中证石化产业指数,SZ,华夏基金,1059.047,
1009,561360.SH,石油ETF,H30198.CSI,中证油气产业指数,SH,国泰基金,22949.981,
197,159588.SZ,石油天然气ETF,399439.SZ,国证石油天然气指数,SZ,景顺长城基金,14060.334,
282,159690.SZ,矿业ETF,931892.CSI,中证有色金属矿业主题指数,SZ,招商基金,873.891,
1007,561330.SH,矿业ETF,931892.CSI,中证有色金属矿业主题指数,SH,国泰基金,1809.896,
243,159642.SZ,碳中和100ETF,931755.CSI,中证上海环交所碳中和指数,SZ,大成基金,481.38,
404,159861.SZ,碳中和50ETF,930614.CSI,中证环保产业50指数,SZ,国泰基金,5477.063,
940,560060.SH,碳中和ETF,931755.CSI,中证上海环交所碳中和指数,SH,汇添富基金,1966.228,
351,159790.SZ,碳中和ETF,000977.CSI,中证内地低碳经济主题指数,SZ,华夏基金,32024.067,1
240,159639.SZ,碳中和ETF南方,931755.CSI,中证上海环交所碳中和指数,SZ,南方基金,7373.951,
1043,562300.SH,碳中和ETF基金,000977.CSI,中证内地低碳经济主题指数,SH,银华基金,251.846,
422,159885.SZ,碳中和ETF基金,000977.CSI,中证内地低碳经济主题指数,SZ,鹏华基金,4425.05,
1078,562990.SH,碳中和ETF易方达,931755.CSI,中证上海环交所碳中和指数,SH,易方达基金,7905.444,
963,560560.SH,碳中和ETF泰康,000977.CSI,中证内地低碳经济主题指数,SH,泰康基金,2407.433,
962,560550.SH,碳中和ETF龙头,931755.CSI,中证上海环交所碳中和指数,SH,广发基金,2939.239,
241,159640.SZ,碳中和龙头ETF,931755.CSI,中证上海环交所碳中和指数,SZ,工银瑞信基金,4135.014,
1133,588190.SH,科创100ETF,000698.SH,上证科创板100指数,SH,银华基金,123861.169,1
1170,588800.SH,科创100ETF华夏,000698.SH,上证科创板100指数,SH,华夏基金,411616.724,
1178,588880.SH,科创100ETF华泰柏瑞,000698.SH,上证科创板100指数,SH,华泰柏瑞基金,23083.071,
1180,588900.SH,科创100ETF南方,000698.SH,上证科创板100指数,SH,南方基金,17859.286,
1136,588220.SH,科创100ETF基金,000698.SH,上证科创板100指数,SH,鹏华基金,162949.212,
1160,588680.SH,科创100ETF增强指数基金,000698.SH,上证科创板100指数,SH,广发基金,1394.889,
1135,588210.SH,科创100ETF易方达,000698.SH,上证科创板100指数,SH,易方达基金,2869.196,
1209,589980.SH,科创100ETF汇添富,000698.SH,上证科创板100指数,SH,汇添富基金,9777.2,
1156,588500.SH,科创100增强ETF易方达,000698.SH,上证科创板100指数,SH,易方达基金,1695.163,
1118,588030.SH,科创100指数ETF,000698.SH,上证科创板100指数,SH,博时基金,143329.725,
1137,588230.SH,科创200ETF,000699.SH,上证科创板200指数,SH,华泰柏瑞基金,11646.636,
1172,588820.SH,科创200ETF基金,000699.SH,上证科创板200指数,SH,华夏基金,1342.067,
1138,588240.SH,科创200ETF指数,000699.SH,上证科创板200指数,SH,鹏华基金,19566.346,
1141,588270.SH,科创200ETF易方达,000699.SH,上证科创板200指数,SH,易方达基金,1978.449,
1115,588000.SH,科创50ETF,000688.SH,上证科创板50成份指数,SH,华夏基金,2765469.4,1
1163,588720.SH,科创50ETF中银,000688.SH,上证科创板50成份指数,SH,中银基金,967.29,
1129,588150.SH,科创50ETF南方,000688.SH,上证科创板50成份指数,SH,南方基金,17645.198,
1132,588180.SH,科创50ETF基金,000688.SH,上证科创板50成份指数,SH,国联安基金,20040.929,
1154,588450.SH,科创50ETF增强,000688.SH,上证科创板50成份指数,SH,招商基金,6068.019,
1183,588940.SH,科创50ETF富国,000688.SH,上证科创板50成份指数,SH,富国基金,10765.756,
1119,588040.SH,科创50ETF指数,000688.SH,上证科创板50成份指数,SH,鹏华基金,1470.002,
1142,588280.SH,科创50ETF指数基金,000688.SH,上证科创板50成份指数,SH,华安基金,10482.969,
1184,588950.SH,科创50ETF景顺,000688.SH,上证科创板50成份指数,SH,景顺长城基金,2194.398,
1121,588060.SH,科创50ETF龙头,000688.SH,上证科创板50成份指数,SH,广发基金,116012.591,
1155,588460.SH,科创50增强ETF,000688.SH,上证科创板50成份指数,SH,鹏华基金,21381.216,
1150,588370.SH,科创50增强ETF南方,000688.SH,上证科创板50成份指数,SH,南方基金,3085.506,
1177,588870.SH,科创50指数ETF,000688.SH,上证科创板50成份指数,SH,汇添富基金,30094.16,
1169,588790.SH,科创AIETF,950180.CSI,上证科创板人工智能指数,SH,博时基金,150447.873,
1120,588050.SH,科创ETF,000688.SH,上证科创板50成份指数,SH,工银瑞信基金,181828.303,
1164,588730.SH,科创人工智能ETF,950180.CSI,上证科创板人工智能指数,SH,易方达基金,56832.254,
1188,589010.SH,科创人工智能ETF华夏,950180.CSI,上证科创板人工智能指数,SH,华夏基金,14814.004,
1196,589520.SH,科创人工智能ETF华宝,950180.CSI,上证科创板人工智能指数,SH,华宝基金,19983.733,
1181,588910.SH,科创价值ETF,950333.CSI,上证智选科创板创新价值指数,SH,建信基金,19194.538,
1140,588260.SH,科创信息ETF,000682.SH,上证科创板新一代信息技术指数,SH,华安基金,1784.237,
1125,588100.SH,科创信息技术ETF,000682.SH,上证科创板新一代信息技术指数,SH,嘉实基金,12277.136,
1167,588770.SH,科创信息技术ETF摩根,000682.SH,上证科创板新一代信息技术指数,SH,摩根基金,5178.597,
1152,588390.SH,科创创业50ETF,931643.CSI,中证科创创业50指数,SH,博时基金,9529.644,
347,159783.SZ,科创创业50ETF,931643.CSI,中证科创创业50指数,SZ,华夏基金,22692.614,
1158,588660.SH,科创创业50ETF基金,931643.CSI,中证科创创业50指数,SH,兴银基金,4995.364,
1149,588360.SH,科创创业ETF,931643.CSI,中证科创创业50指数,SH,国泰基金,20569.742,
345,159781.SZ,科创创业ETF,931643.CSI,中证科创创业50指数,SZ,易方达基金,65195.94,
1153,588400.SH,科创创业ETF嘉实,931643.CSI,中证科创创业50指数,SH,嘉实基金,24546.78,
1176,588860.SH,科创医药ETF,000683.SH,上证科创板生物医药指数,SH,工银瑞信基金,15280.884,
1161,588700.SH,科创医药ETF嘉实,000683.SH,上证科创板生物医药指数,SH,嘉实基金,32536.482,
1128,588130.SH,科创医药ETF基金,000683.SH,上证科创板生物医药指数,SH,华夏基金,3024.059,
1131,588170.SH,科创半导体ETF,950125.CSI,上证科创板半导体材料设备主题指数,SH,华夏基金,33663.853,1
1162,588710.SH,科创半导体设备ETF,950125.CSI,上证科创板半导体材料设备主题指数,SH,华泰柏瑞基金,6078.562,
1157,588520.SH,科创增强ETF,000681.SH,上证科创板综合价格指数,SH,永赢基金,20507.233,
1117,588020.SH,科创成长50ETF,000690.SH,上证科创板成长指数,SH,易方达基金,16158.349,1
1126,588110.SH,科创成长ETF,000690.SH,上证科创板成长指数,SH,广发基金,7354.092,
1202,589700.SH,科创成长ETF南方,000690.SH,上证科创板成长指数,SH,南方基金,5921.708,
1116,588010.SH,科创新材料ETF,000689.SH,上证科创板新材料指数,SH,博时基金,9985.177,
1192,589180.SH,科创新材料ETF汇添富,000689.SH,上证科创板新材料指数,SH,汇添富基金,5100.811,
1173,588830.SH,科创新能源ETF,000692.SH,上证科创板新能源指数,SH,鹏华基金,69479.15,1
1175,588850.SH,科创机械ETF,000693.SH,上证科创板工业机械指数,SH,嘉实基金,785.388,
1130,588160.SH,科创材料ETF,000689.SH,上证科创板新材料指数,SH,南方基金,2042.522,
1127,588120.SH,科创板100ETF,000698.SH,上证科创板100指数,SH,国泰基金,48731.441,
1123,588080.SH,科创板50ETF,000688.SH,上证科创板50成份指数,SH,易方达基金,557310.019,
1174,588840.SH,科创板50ETF基金,000688.SH,上证科创板50成份指数,SH,万家基金,2445.725,
1124,588090.SH,科创板ETF,000688.SH,上证科创板50成份指数,SH,华泰柏瑞基金,60168.625,
1182,588930.SH,科创板人工智能ETF,950180.CSI,上证科创板人工智能指数,SH,银华基金,71445.745,
1122,588070.SH,科创板成长ETF,000690.SH,上证科创板成长指数,SH,万家基金,738.144,
1185,588960.SH,科创板新能源ETF,000692.SH,上证科创板新能源指数,SH,富国基金,4069.03,
1139,588250.SH,科创生物医药ETF,000683.SH,上证科创板生物医药指数,SH,鹏华基金,10202.257,
1189,589060.SH,科创综指ETF东财,000681.SH,上证科创板综合价格指数,SH,西藏东财基金,3651.912,
1197,589580.SH,科创综指ETF兴银,000681.SH,上证科创板综合价格指数,SH,兴银基金,1284.16,
1187,589000.SH,科创综指ETF华夏,000680.SH,上证科创板综合指数,SH,华夏基金,147331.281,
1210,589990.SH,科创综指ETF华泰柏瑞,000680.SH,上证科创板综合指数,SH,华泰柏瑞基金,14066.945,
1200,589660.SH,科创综指ETF南方,000680.SH,上证科创板综合指数,SH,南方基金,36460.027,
1208,589900.SH,科创综指ETF博时,000680.SH,上证科创板综合指数,SH,博时基金,55756.277,
1193,589300.SH,科创综指ETF嘉实,000680.SH,上证科创板综合指数,SH,嘉实基金,1164.997,
1199,589630.SH,科创综指ETF国泰,000680.SH,上证科创板综合指数,SH,国泰基金,43184.997,
1205,589860.SH,科创综指ETF天弘,000680.SH,上证科创板综合指数,SH,天弘基金,79579.681,
1198,589600.SH,科创综指ETF富国,000681.SH,上证科创板综合价格指数,SH,富国基金,20422.644,
1195,589500.SH,科创综指ETF工银,000681.SH,上证科创板综合价格指数,SH,工银瑞信基金,14490.689,
1206,589880.SH,科创综指ETF建信,000680.SH,上证科创板综合指数,SH,建信基金,19161.17,
1203,589770.SH,科创综指ETF招商,000680.SH,上证科创板综合指数,SH,招商基金,57029.677,
1204,589800.SH,科创综指ETF易方达,000680.SH,上证科创板综合指数,SH,易方达基金,117235.42,
1207,589890.SH,科创综指ETF景顺,000681.SH,上证科创板综合价格指数,SH,景顺长城基金,18094.162,
1190,589080.SH,科创综指ETF汇添富,000680.SH,上证科创板综合指数,SH,汇添富基金,32140.818,
1201,589680.SH,科创综指ETF鹏华,000680.SH,上证科创板综合指数,SH,鹏华基金,97482.833,
